"nhs_region","trust_type","trust_name","provider_code","wk_start","wk","onset_category","n","ecds_last_update","sus_last_update"
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-05-18,20,"Unlinked",1,2020-04-19,2020-05-26
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-05-25,21,"Unlinked",1,2020-03-24,2020-03-25
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-06-01,22,"Unlinked",5,2020-05-17,2020-06-02
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-06-08,23,"Unlinked",2,NA,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-06-15,24,"Unlinked",2,NA,2019-12-17
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-06-22,25,"Unlinked",2,2020-06-07,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-07-06,27,"Unlinked",1,2020-02-06,2020-02-07
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-07-20,29,"Unlinked",1,2020-07-24,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-08-03,31,"Unlinked",2,NA,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-08-10,32,"Unlinked",1,NA,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-08-31,35,"Unlinked",2,2020-06-09,2020-05-31
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-09-07,36,"Unlinked",4,2020-06-20,NA
"EAST OF ENGLAND","ACUTE","BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RDD",2020-09-14,37,"Unlinked",9,NA,2020-08-24
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-09,10,"HO.iHA",1,2020-03-11,2020-03-16
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-09,10,"Unlinked",6,NA,NA
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-16,11,"CO",4,2020-03-22,2020-04-03
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-16,11,"HO.HA",1,2020-02-24,2020-03-24
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-16,11,"HO.iHA",5,2020-03-19,2020-04-01
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-16,11,"Unlinked",6,2020-03-16,2020-04-04
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-23,12,"CO",53,2020-03-31,2020-04-28
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-23,12,"HO.HA",3,2020-03-13,2020-04-14
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-23,12,"HO.iHA",11,2020-03-24,2020-04-28
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-23,12,"HO.pHA",5,2020-03-18,2020-04-06
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-23,12,"Unlinked",4,2020-03-21,2020-03-21
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-30,13,"CO",72,2020-04-12,2020-05-22
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-30,13,"HO.HA",4,2020-03-18,2020-04-19
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-30,13,"HO.iHA",11,2020-03-31,2020-04-28
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-30,13,"HO.pHA",5,2020-03-27,2020-04-21
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-03-30,13,"Unlinked",17,2020-08-04,2020-07-09
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-06,14,"CO",54,2020-04-24,2020-05-05
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-06,14,"HO.HA",3,2020-03-26,2020-04-27
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-06,14,"HO.iHA",8,2020-04-08,2020-04-28
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-06,14,"HO.pHA",9,2020-04-04,2020-06-18
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-06,14,"Unlinked",65,2020-08-25,2020-08-26
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-13,15,"CO",35,2020-04-26,2020-05-25
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-13,15,"HO.HA",3,2020-03-30,2020-05-07
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-13,15,"HO.iHA",9,2020-04-15,2020-05-01
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-13,15,"HO.pHA",5,2020-04-06,2020-06-09
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-13,15,"Unlinked",59,2020-07-21,2020-07-13
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-20,16,"CO",32,2020-05-04,2020-06-09
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-20,16,"HO.HA",3,2020-04-11,2020-05-07
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-20,16,"HO.iHA",3,2020-04-21,2020-05-11
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-20,16,"HO.pHA",8,2020-04-17,2020-05-13
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-20,16,"Unlinked",28,2020-07-16,2020-04-17
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-27,17,"CO",29,2020-05-15,2020-05-27
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-27,17,"HO.HA",1,2020-04-13,2020-05-09
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-27,17,"HO.iHA",5,2020-04-27,2020-05-29
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-27,17,"HO.pHA",5,2020-04-25,2020-05-29
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-04-27,17,"Unlinked",43,2020-06-25,2020-07-14
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-04,18,"CO",19,2020-05-16,2020-05-29
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-04,18,"HO.HA",1,2020-04-20,2020-05-06
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-04,18,"HO.iHA",8,2020-05-04,2020-05-19
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-04,18,"HO.pHA",8,2020-04-29,2020-06-03
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-04,18,"Unlinked",18,2020-07-08,2020-04-30
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-11,19,"CO",43,2020-05-22,2020-06-11
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-11,19,"HO.HA",6,2020-05-03,2020-06-12
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-11,19,"HO.iHA",2,2020-05-11,2020-06-05
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-11,19,"HO.pHA",9,2020-05-08,2020-06-05
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-11,19,"Unlinked",15,2020-05-10,2020-06-25
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-18,20,"CO",38,2020-05-29,2020-07-17
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-18,20,"HO.HA",4,2020-05-03,2020-06-29
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-18,20,"HO.iHA",7,2020-05-17,2020-06-15
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-18,20,"HO.pHA",4,2020-05-13,2020-06-05
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-18,20,"Unlinked",26,2020-06-11,2020-06-19
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-25,21,"CO",28,2020-06-06,2020-06-20
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-25,21,"HO.HA",1,2020-04-27,2020-06-09
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-25,21,"HO.iHA",5,2020-05-27,2020-06-11
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-25,21,"HO.pHA",3,2020-05-21,2020-06-12
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-05-25,21,"Unlinked",20,2020-07-05,2020-06-24
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-01,22,"CO",18,2020-06-07,2020-06-30
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-01,22,"HO.HA",1,2020-05-16,2020-06-04
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-01,22,"HO.iHA",2,2020-06-01,2020-06-26
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-01,22,"HO.pHA",1,NA,2020-06-11
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-01,22,"Unlinked",28,2020-08-24,2020-08-17
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-08,23,"CO",22,2020-06-14,2020-08-11
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-08,23,"HO.HA",4,2020-05-28,2020-09-04
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-08,23,"HO.iHA",10,2020-06-08,2020-08-13
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-08,23,"HO.pHA",9,2020-06-06,2020-08-26
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-08,23,"Unlinked",30,2020-08-06,2020-07-03
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-15,24,"CO",35,2020-07-03,2020-08-03
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-15,24,"HO.HA",6,2020-06-06,2020-07-30
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-15,24,"HO.iHA",3,2020-06-15,2020-07-31
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-15,24,"HO.pHA",4,2020-06-11,2020-07-20
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-15,24,"Unlinked",25,2020-07-03,2020-07-20
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-22,25,"CO",2,2020-07-01,2020-06-30
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-22,25,"HO.pHA",1,2020-06-12,2020-07-01
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-22,25,"Unlinked",8,2020-04-09,2020-05-15
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-29,26,"CO",3,2020-07-01,2020-07-20
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-29,26,"HO.HA",4,2020-06-17,2020-08-27
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-29,26,"HO.pHA",4,2020-06-25,2020-07-24
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-06-29,26,"Unlinked",12,2020-06-25,2020-06-05
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-06,27,"CO",3,2020-07-09,2020-07-27
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-06,27,"Unlinked",1,NA,NA
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-13,28,"CO",2,2020-07-21,2020-07-22
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-13,28,"HO.HA",1,2020-06-30,2020-07-22
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-13,28,"HO.iHA",1,2020-07-12,2020-07-18
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-13,28,"Unlinked",12,2020-08-22,2020-08-25
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-20,29,"CO",8,2020-07-27,2020-08-24
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-20,29,"HO.HA",3,2020-07-06,2020-08-07
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-20,29,"HO.iHA",1,2020-07-14,2020-07-20
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-27,30,"CO",4,2020-08-10,2020-08-14
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-07-27,30,"Unlinked",1,2020-08-24,2020-08-27
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-08-03,31,"HO.pHA",1,2020-07-27,2020-08-06
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-08-03,31,"Unlinked",1,NA,NA
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-08-10,32,"CO",2,2020-08-16,2020-08-26
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-08-17,33,"HO.pHA",1,2020-08-10,NA
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-08-24,34,"CO",1,2020-08-26,2020-09-01
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-08-31,35,"HO.HA",1,2020-08-19,2020-09-09
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-08-31,35,"HO.pHA",1,2020-08-28,NA
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-08-31,35,"Unlinked",1,NA,2020-07-15
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-09-07,36,"Unlinked",3,2020-07-12,2020-07-12
"EAST OF ENGLAND","ACUTE","BEDFORD HOSPITAL NHS TRUST","RC1",2020-09-14,37,"Unlinked",7,2020-06-03,2020-04-16
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-09,10,"CO",9,2020-03-14,2020-03-26
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-09,10,"HO.iHA",1,2020-03-13,2020-03-31
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-09,10,"Unlinked",14,2020-09-13,NA
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-16,11,"CO",18,2020-03-24,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-16,11,"HO.iHA",3,2020-03-17,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-16,11,"Unlinked",5,NA,NA
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-23,12,"CO",56,2020-03-29,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-23,12,"HO.HA",9,2020-03-07,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-23,12,"HO.iHA",2,2020-03-22,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-23,12,"HO.pHA",4,2020-03-21,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-23,12,"Unlinked",4,NA,2020-02-13
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-30,13,"CO",78,2020-04-13,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-30,13,"HO.HA",5,2020-03-19,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-30,13,"HO.iHA",4,2020-04-03,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-30,13,"HO.pHA",3,2020-03-28,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-03-30,13,"Unlinked",2,2020-05-02,2020-05-07
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-06,14,"CO",82,2020-04-16,2020-08-19
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-06,14,"HO.HA",7,2020-03-26,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-06,14,"HO.iHA",2,NA,2020-04-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-06,14,"HO.pHA",3,2020-04-04,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-06,14,"Unlinked",16,2020-04-08,NA
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-13,15,"CO",39,2020-04-28,2020-06-02
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-13,15,"HO.HA",2,2020-04-04,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-13,15,"HO.iHA",3,2020-04-17,2020-05-19
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-13,15,"HO.pHA",3,2020-04-08,2020-05-06
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-13,15,"Unlinked",36,NA,NA
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-20,16,"CO",38,2020-05-04,2020-07-01
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-20,16,"HO.HA",2,2020-03-30,2020-09-21
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-20,16,"HO.iHA",3,2020-04-22,2020-05-11
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-20,16,"Unlinked",14,NA,NA
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-27,17,"CO",31,2020-05-05,2020-06-01
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-27,17,"HO.iHA",2,NA,2020-05-15
"EAST OF ENGLAND","ACUTE","CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RGT",2020-04-27,17,"Unlinked",12,NA,2020-06-07
